seq,rand,correct_solution,testee_solution,correct
0,1445777345214609627,1445777345214609627,1445777345214609627,true
1,872676710239124211,1445777345214609627,1445777345214609627,true
2,-4628327866127630706,1445777345214609627,1445777345214609627,true
3,281591175243380603,1445777345214609627,1445777345214609627,true
4,-1483642665678744660,1445777345214609627,1445777345214609627,true
5,-6455083224162492817,1445777345214609627,1445777345214609627,true
6,6891903930586865731,6891903930586865731,6891903930586865731,true
7,-4646575565651509565,6891903930586865731,6891903930586865731,true
8,-7817046733141990480,6891903930586865731,6891903930586865731,true
9,-3288279085817606956,6891903930586865731,6891903930586865731,true
10,-3355343721425709815,6891903930586865731,6891903930586865731,true
11,-412358955004976827,6891903930586865731,6891903930586865731,true
12,-812049985482118485,6891903930586865731,6891903930586865731,true
13,-2855907786493058807,6891903930586865731,6891903930586865731,true
14,-6142984580377236675,6891903930586865731,6891903930586865731,true
15,6517122124586505579,6891903930586865731,6891903930586865731,true
16,-1442028820854957836,6891903930586865731,6891903930586865731,true
17,6378643595234930152,6891903930586865731,6891903930586865731,true
18,-1706619489335766460,6891903930586865731,6891903930586865731,true
19,-294679326836130200,6891903930586865731,6891903930586865731,true
20,-1322126876663533813,6891903930586865731,6891903930586865731,true
21,3191621020746260904,6891903930586865731,6891903930586865731,true
22,6986903376088469527,6986903376088469527,6986903376088469527,true
23,-5682959262872872625,6986903376088469527,6986903376088469527,true
24,2710186321341165203,6986903376088469527,6986903376088469527,true
25,5427554593276516811,6986903376088469527,6986903376088469527,true
26,6868211558472974251,6986903376088469527,6986903376088469527,true
27,5505616186733476207,6986903376088469527,6986903376088469527,true
28,-2484108690568232222,6986903376088469527,6986903376088469527,true
29,-4272288283019941591,6986903376088469527,6986903376088469527,true
30,-2925512775158105787,6986903376088469527,6986903376088469527,true
31,539925955636451201,6986903376088469527,6986903376088469527,true
32,1629189680485204067,6986903376088469527,6986903376088469527,true
33,7774127575578684346,7774127575578684346,7774127575578684346,true
34,-5389538712206757936,7774127575578684346,7774127575578684346,true
35,-3944451442578481751,7774127575578684346,7774127575578684346,true
36,-6985480646222891900,7774127575578684346,7774127575578684346,true
37,-3215468153532588023,7774127575578684346,7774127575578684346,true
38,1071974071204959757,7774127575578684346,7774127575578684346,true
39,-6350126127098474839,7774127575578684346,7774127575578684346,true
40,-9003971217898176298,7774127575578684346,7774127575578684346,true
41,-1534142229311070889,7774127575578684346,7774127575578684346,true
42,-435109418503365079,7774127575578684346,7774127575578684346,true
43,873512186888634956,7774127575578684346,7774127575578684346,true
44,-5160077000636367728,7774127575578684346,7774127575578684346,true
45,8873690387104803454,8873690387104803454,8873690387104803454,true
46,8152006999810766100,8873690387104803454,8873690387104803454,true
47,7506888320233661209,8873690387104803454,8873690387104803454,true
48,-1793538373157268984,8873690387104803454,8873690387104803454,true
49,-1382514232030000613,8873690387104803454,8873690387104803454,true
50,8341157661606024654,8873690387104803454,8873690387104803454,true
51,6836365184444430424,8873690387104803454,8873690387104803454,true
52,-4830452226927084831,8873690387104803454,8873690387104803454,true
53,-8543947369936295651,8873690387104803454,8873690387104803454,true
54,7487253145625177530,8873690387104803454,8873690387104803454,true
55,-1962770580330548093,8873690387104803454,8873690387104803454,true
56,7366928826887448468,8873690387104803454,8873690387104803454,true
57,8926515420068256942,8926515420068256942,8926515420068256942,true
58,-7980394383016436295,8926515420068256942,8926515420068256942,true
59,1557130276578228829,8926515420068256942,8926515420068256942,true
60,4096578136591132588,8926515420068256942,8926515420068256942,true
61,2006523921355785920,8926515420068256942,8926515420068256942,true
62,1195307221914782252,8926515420068256942,8926515420068256942,true
63,-7177386898529682824,8926515420068256942,8926515420068256942,true
64,-945410995363238973,8926515420068256942,8926515420068256942,true
65,6773608993879494464,8926515420068256942,8926515420068256942,true
66,-642405177110933181,8926515420068256942,8926515420068256942,true
67,-4675619276978605939,8926515420068256942,8926515420068256942,true
68,-3428312894374353028,8926515420068256942,8926515420068256942,true
69,-8434778692089505180,8926515420068256942,8926515420068256942,true
70,1392195058847831810,8926515420068256942,8926515420068256942,true
71,2813440771392157248,8926515420068256942,8926515420068256942,true
72,-8010416442920901633,8926515420068256942,8926515420068256942,true
73,8545586216161021054,8926515420068256942,8926515420068256942,true
74,-6347462805881505198,8926515420068256942,8926515420068256942,true
75,8712616965445635796,8926515420068256942,8926515420068256942,true
76,-6493152242563126749,8926515420068256942,8926515420068256942,true
77,8400489883800079531,8926515420068256942,8926515420068256942,true
78,3151437436295534875,8926515420068256942,8926515420068256942,true
